0 82 tensor(0.2371, device='cuda:0') tensor(0.0800, device='cuda:0')
0 83 tensor(0.7990, device='cuda:0') tensor(0.3000, device='cuda:0')
0 84 tensor(0.5924, device='cuda:0') tensor(0.1400, device='cuda:0')
0 85 tensor(0.4035, device='cuda:0') tensor(0.1200, device='cuda:0')
0 86 tensor(0.4400, device='cuda:0') tensor(0.1000, device='cuda:0')
0 87 tensor(0.2019, device='cuda:0') tensor(0.0800, device='cuda:0')
0 88 tensor(0.7986, device='cuda:0') tensor(0.2400, device='cuda:0')
0 89 tensor(0.5390, device='cuda:0') tensor(0.1200, device='cuda:0')
0 90 tensor(0.4455, device='cuda:0') tensor(0.1200, device='cuda:0')
0 91 tensor(0.5464, device='cuda:0') tensor(0.1600, device='cuda:0')
0 92 tensor(0.5174, device='cuda:0') tensor(0.1400, device='cuda:0')
0 93 tensor(0.2380, device='cuda:0') tensor(0.0400, device='cuda:0')
0 94 tensor(0.4081, device='cuda:0') tensor(0.1200, device='cuda:0')
0 95 tensor(0.6442, device='cuda:0') tensor(0.2600, device='cuda:0')
0 96 tensor(0.5620, device='cuda:0') tensor(0.1800, device='cuda:0')
0 97 tensor(0.4115, device='cuda:0') tensor(0.1400, device='cuda:0')
0 98 tensor(0.4113, device='cuda:0') tensor(0.1200, device='cuda:0')
0 99 tensor(0.3324, device='cuda:0') tensor(0.1400, device='cuda:0')
0 100 tensor(0.4771, device='cuda:0') tensor(0.1600, device='cuda:0')
0 101 tensor(0.4403, device='cuda:0') tensor(0.1200, device='cuda:0')
0 102 tensor(0.4897, device='cuda:0') tensor(0.1800, device='cuda:0')
0 103 tensor(0.3728, device='cuda:0') tensor(0.1600, device='cuda:0')
0 104 tensor(0.7078, device='cuda:0') tensor(0.2800, device='cuda:0')
0 105 tensor(0.3814, device='cuda:0') tensor(0.1600, device='cuda:0')
0 106 tensor(0.2953, device='cuda:0') tensor(0.0600, device='cuda:0')
0 107 tensor(0.4746, device='cuda:0') tensor(0.1600, device='cuda:0')
0 108 tensor(0.3171, device='cuda:0') tensor(0.1200, device='cuda:0')
0 109 tensor(0.3535, device='cuda:0') tensor(0.1200, device='cuda:0')
0 110 tensor(0.2672, device='cuda:0') tensor(0.0800, device='cuda:0')
0 111 tensor(0.3739, device='cuda:0') tensor(0.1600, device='cuda:0')
0 112 tensor(0.4419, device='cuda:0') tensor(0.1600, device='cuda:0')
0 113 tensor(0.3879, device='cuda:0') tensor(0.1400, device='cuda:0')
0 114 tensor(0.4207, device='cuda:0') tensor(0.1400, device='cuda:0')
0 115 tensor(0.4206, device='cuda:0') tensor(0.1400, device='cuda:0')
0 116 tensor(0.4376, device='cuda:0') tensor(0.0800, device='cuda:0')
0 117 tensor(0.5398, device='cuda:0') tensor(0.1800, device='cuda:0')
0 118 tensor(0.4203, device='cuda:0') tensor(0.1200, device='cuda:0')
0 119 tensor(0.4045, device='cuda:0') tensor(0.1200, device='cuda:0')
0 120 tensor(0.4214, device='cuda:0') tensor(0.1400, device='cuda:0')
0 121 tensor(0.3861, device='cuda:0') tensor(0.1000, device='cuda:0')
0 122 tensor(0.3463, device='cuda:0') tensor(0.1400, device='cuda:0')
0 123 tensor(0.3131, device='cuda:0') tensor(0.0800, device='cuda:0')
0 124 tensor(0.3711, device='cuda:0') tensor(0.1200, device='cuda:0')
0 125 tensor(0.2026, device='cuda:0') tensor(0.0800, device='cuda:0')
0 126 tensor(0.4012, device='cuda:0') tensor(0.0800, device='cuda:0')
0 127 tensor(0.3375, device='cuda:0') tensor(0.1200, device='cuda:0')
0 128 tensor(0.4657, device='cuda:0') tensor(0.1400, device='cuda:0')
0 129 tensor(0.3756, device='cuda:0') tensor(0.1200, device='cuda:0')
0 130 tensor(0.7087, device='cuda:0') tensor(0.1600, device='cuda:0')
0 131 tensor(0.3589, device='cuda:0') tensor(0.1000, device='cuda:0')
0 132 tensor(0.2328, device='cuda:0') tensor(0.0800, device='cuda:0')
0 133 tensor(0.3162, device='cuda:0') tensor(0.1000, device='cuda:0')
0 134 tensor(0.6874, device='cuda:0') tensor(0.2400, device='cuda:0')
0 135 tensor(0.3270, device='cuda:0') tensor(0.1400, device='cuda:0')
0 136 tensor(0.2317, device='cuda:0') tensor(0.0400, device='cuda:0')
0 137 tensor(0.2598, device='cuda:0') tensor(0.0800, device='cuda:0')
0 138 tensor(0.4687, device='cuda:0') tensor(0.2000, device='cuda:0')
0 139 tensor(0.3937, device='cuda:0') tensor(0.1200, device='cuda:0')
0 140 tensor(0.3061, device='cuda:0') tensor(0.1000, device='cuda:0')
0 141 tensor(0.2158, device='cuda:0') tensor(0.0600, device='cuda:0')
0 142 tensor(0.3395, device='cuda:0') tensor(0.1200, device='cuda:0')
0 143 tensor(0.2012, device='cuda:0') tensor(0.1000, device='cuda:0')
0 144 tensor(0.4118, device='cuda:0') tensor(0.1400, device='cuda:0')
0 145 tensor(0.4930, device='cuda:0') tensor(0.2200, device='cuda:0')
0 146 tensor(0.5359, device='cuda:0') tensor(0.1600, device='cuda:0')
0 147 tensor(0.3042, device='cuda:0') tensor(0.1000, device='cuda:0')
0 148 tensor(0.3714, device='cuda:0') tensor(0.1600, device='cuda:0')
0 149 tensor(0.2368, device='cuda:0') tensor(0.1000, device='cuda:0')
0 150 tensor(0.2817, device='cuda:0') tensor(0.1200, device='cuda:0')
0 151 tensor(0.4585, device='cuda:0') tensor(0.1200, device='cuda:0')
0 152 tensor(0.4789, device='cuda:0') tensor(0.1200, device='cuda:0')
0 153 tensor(0.4924, device='cuda:0') tensor(0.1200, device='cuda:0')
0 154 tensor(0.2782, device='cuda:0') tensor(0.1000, device='cuda:0')
0 155 tensor(0.1487, device='cuda:0') tensor(0.0200, device='cuda:0')
0 156 tensor(0.2563, device='cuda:0') tensor(0.0800, device='cuda:0')
0 157 tensor(0.2251, device='cuda:0') tensor(0.0600, device='cuda:0')
0 158 tensor(0.1910, device='cuda:0') tensor(0.0400, device='cuda:0')
0 159 tensor(0.4806, device='cuda:0') tensor(0.1800, device='cuda:0')
0 160 tensor(0.2011, device='cuda:0') tensor(0.0600, device='cuda:0')
0 161 tensor(0.1626, device='cuda:0') tensor(0.0400, device='cuda:0')
0 162 tensor(0.4882, device='cuda:0') tensor(0.1800, device='cuda:0')
0 163 tensor(0.3859, device='cuda:0') tensor(0.1200, device='cuda:0')
0 164 tensor(0.4928, device='cuda:0') tensor(0.1400, device='cuda:0')
0 165 tensor(0.2015, device='cuda:0') tensor(0.0200, device='cuda:0')
0 166 tensor(0.2380, device='cuda:0') tensor(0.0600, device='cuda:0')
0 167 tensor(0.1330, device='cuda:0') tensor(0.0200, device='cuda:0')
0 168 tensor(0.1537, device='cuda:0') tensor(0.0400, device='cuda:0')
0 169 tensor(0.2088, device='cuda:0') tensor(0.1000, device='cuda:0')
0 170 tensor(0.2076, device='cuda:0') tensor(0.0800, device='cuda:0')
0 171 tensor(0.3500, device='cuda:0') tensor(0.0800, device='cuda:0')
0 172 tensor(0.3822, device='cuda:0') tensor(0.1600, device='cuda:0')
0 173 tensor(0.1540, device='cuda:0') tensor(0.0400, device='cuda:0')
0 174 tensor(0.2235, device='cuda:0') tensor(0.1000, device='cuda:0')
0 175 tensor(0.1861, device='cuda:0') tensor(0.0600, device='cuda:0')
0 176 tensor(0.0936, device='cuda:0') tensor(0.0200, device='cuda:0')
0 177 tensor(0.4583, device='cuda:0') tensor(0.1400, device='cuda:0')
0 178 tensor(0.4161, device='cuda:0') tensor(0.1800, device='cuda:0')
0 179 tensor(0.1793, device='cuda:0') tensor(0.0600, device='cuda:0')
0 180 tensor(0.3021, device='cuda:0') tensor(0.1000, device='cuda:0')
0 181 tensor(0.4090, device='cuda:0') tensor(0.1200, device='cuda:0')
0 182 tensor(0.5346, device='cuda:0') tensor(0.0600, device='cuda:0')
0 183 tensor(0.2280, device='cuda:0') tensor(0.0600, device='cuda:0')
0 184 tensor(0.4060, device='cuda:0') tensor(0.1400, device='cuda:0')
0 185 tensor(0.4156, device='cuda:0') tensor(0.1200, device='cuda:0')
0 186 tensor(0.3089, device='cuda:0') tensor(0.1200, device='cuda:0')
0 187 tensor(0.2034, device='cuda:0') tensor(0.0600, device='cuda:0')
0 188 tensor(0.4795, device='cuda:0') tensor(0.2000, device='cuda:0')
0 189 tensor(0.4524, device='cuda:0') tensor(0.0800, device='cuda:0')
0 190 tensor(0.2641, device='cuda:0') tensor(0.1000, device='cuda:0')
0 191 tensor(0.3254, device='cuda:0') tensor(0.1200, device='cuda:0')
0 192 tensor(0.3747, device='cuda:0') tensor(0.0800, device='cuda:0')
0 193 tensor(0.3404, device='cuda:0') tensor(0.0800, device='cuda:0')
0 194 tensor(0.2058, device='cuda:0') tensor(0.0400, device='cuda:0')
0 195 tensor(0.1755, device='cuda:0') tensor(0.0400, device='cuda:0')
0 196 tensor(0.3786, device='cuda:0') tensor(0.1200, device='cuda:0')
0 197 tensor(0.3687, device='cuda:0') tensor(0.1200, device='cuda:0')
0 198 tensor(0.2314, device='cuda:0') tensor(0.0800, device='cuda:0')
0 199 tensor(0.3998, device='cuda:0') tensor(0.1200, device='cuda:0')
0 200 tensor(0.3063, device='cuda:0') tensor(0.1000, device='cuda:0')
0 201 tensor(0.4264, device='cuda:0') tensor(0.1400, device='cuda:0')
0 202 tensor(0.1253, device='cuda:0') tensor(0.0200, device='cuda:0')
0 203 tensor(0.1819, device='cuda:0') tensor(0.1000, device='cuda:0')
0 204 tensor(0.3202, device='cuda:0') tensor(0.1000, device='cuda:0')
0 205 tensor(0.6102, device='cuda:0') tensor(0.1400, device='cuda:0')
0 206 tensor(0.3898, device='cuda:0') tensor(0.1200, device='cuda:0')
0 207 tensor(0.3088, device='cuda:0') tensor(0.1200, device='cuda:0')
0 208 tensor(0.2743, device='cuda:0') tensor(0.0600, device='cuda:0')
0 209 tensor(0.1373, device='cuda:0') tensor(0.0800, device='cuda:0')
0 210 tensor(0.3746, device='cuda:0') tensor(0.1600, device='cuda:0')
0 211 tensor(0.2991, device='cuda:0') tensor(0.1000, device='cuda:0')
